"chromosome"	"start.pos"	"end.pos"	"Bf"	"N.BAF"	"sd.BAF"	"depth.ratio"	"N.ratio"	"sd.ratio"	"CNt"	"A"	"B"	"LPP"
"chr1"	11523071	14115243	0.0771207389647761	1571	0.0381240259607957	0.655129807065907	44509	0.166738979049526	2	2	0	-6.74554183883671
"chr1"	14119089	14587432	0.0745348268658034	479	0.032754257430024	0.654493419395001	10071	0.176169297894971	2	2	0	-6.75097569820577
"chr1"	14588651	15471822	0.0786789445156318	862	0.0493959827735896	0.657298222011194	19004	0.176037227336169	2	2	0	-6.73786593177474
"chr1"	15487474	15799466	0.0718066132343236	489	0.0284287338428642	0.734063480732957	6919	0.22782434318773	2	2	0	-6.8396978615646
"chr1"	15799712	15993533	0.0745620648515821	118	0.0287021159287261	0.67871060080644	4058	0.17385621144008	2	2	0	-6.76342442904168
"chr1"	15993909	16093748	0.0724938937399087	221	0.0362548500280352	0.728011397518948	2275	0.248134972962962	2	2	0	-6.77224476254353
"chr1"	16095265	16147019	0.0763973692736642	84	0.0303061828016477	0.65999670962182	1142	0.195179305366044	2	2	0	-6.74185258044092
"chr1"	16147615	16195774	0.0748761709871493	74	0.0270930766419248	0.712311940888453	1069	0.218140799117681	2	2	0	-6.76009902223023
"chr1"	16195961	16489163	0.0928065347265143	77	0.0418156248289554	0.682943918785991	6072	0.14171654070245	2	2	0	-6.81448340386668
"chr1"	16506745	16948523	0.324144407006777	973	0.151550552521003	0.670743535266362	8457	0.208478620187062	2	1	1	-7.1286571092369
"chr1"	16949400	18963300	0.0772317849432863	1438	0.0457444563135738	0.655615350668859	36489	0.169654339045417	2	2	0	-6.74286468370805
"chr1"	18963791	19045867	0.0805885338640529	127	0.033243628827834	0.643843586071036	1815	0.197225777041774	2	2	0	-6.73324148226457
"chr1"	19046866	21378942	0.0787889772790675	1648	0.0484657917526741	0.673966780173476	49394	0.168913021099694	2	2	0	-6.81511285351331
"chr1"	21387672	21388450	0.414200959796403	11	0.0543219359676432	0.674348297211792	28	0.131895957674197	5	3	2	-6.76391859029204
"chr1"	21404411	21422095	0.0880968612374135	51	0.0592484896804278	0.643331915564586	413	0.249254086077658	2	2	0	-6.74420456775214
"chr1"	21423472	21425375	0.405882977222472	9	0.105713186394971	0.701653848530519	45	0.167758538598568	5	3	2	-6.75481233210953
"chr1"	21425827	21988969	0.0770757588858349	690	0.0463102709106024	0.680417343498557	12233	0.200275981227673	2	2	0	-6.75693949190281
"chr1"	21989994	22008798	0.325881807714417	13	0.0815438375102462	1.20356328305861	325	0.269590527850206	6	4	2	-6.7806175981901
"chr1"	22012646	26386106	0.0788574110254728	2664	0.0502015310598983	0.682849826441249	84523	0.179755293355241	2	2	0	-6.96282367024592
"chr1"	26388741	27012612	0.0987951572811999	122	0.0642001642465445	0.693432783303316	9463	0.151305586616155	2	2	0	-6.86210099664615
"chr1"	27024845	27370346	0.0812440250588904	187	0.0640898294494468	0.708749390136255	7275	0.162522401925266	2	2	0	-6.79813662511754
"chr1"	27393621	29064884	0.0776403915329018	516	0.0542784990601645	0.695669522474323	31644	0.155529355686707	2	2	0	-6.94614413441791
"chr1"	29066648	29392339	0.0787626840604198	242	0.0329376221846669	0.660951850122138	6894	0.164224970230505	2	2	0	-6.73726124432291
"chr1"	29394384	29394610	0.359646441462782	16	0.0192834125610588	0.737239571549419	22	0.139067526965417	14	9	5	-6.75449999538578
"chr1"	29395382	29770964	0.0845966210988133	282	0.0548224781816725	0.630283487193512	7002	0.164805323901269	2	2	0	-6.74280172645115
"chr1"	29770993	29771653	0.354555750808713	10	0.116617370537631	0.53377042970026	19	0.260513875891791	3	2	1	-6.73503416345346
"chr1"	29772000	30591612	0.0833564025739347	605	0.054565006379424	0.640943860061783	17296	0.158497041232193	2	2	0	-6.73692764110562
"chr1"	30591740	31176833	0.075923921094425	742	0.0457195463528661	0.705033945736672	12732	0.207416132371086	2	2	0	-6.79778255268178
"chr1"	31176932	31382108	0.0773915274759033	291	0.0414629626557081	0.662462451794008	4537	0.195726696825294	2	2	0	-6.73724509566659
"chr1"	31384919	31429571	0.0734279392916738	68	0.0313247840907463	0.710440509420988	976	0.207606249020106	2	2	0	-6.76483169990646
"chr1"	31431778	31432204	0.353967835069563	37	0.0853890935500389	0.669780766039194	54	0.374631348727434	3	2	1	-6.73352678112101
"chr1"	31432210	31548443	0.0803826124366338	288	0.0465453936928506	0.64152176766195	2669	0.227562677091936	2	2	0	-6.73316060344328
"chr1"	31552256	33009825	0.0811777223612401	501	0.0556543266946993	0.690640002207112	30255	0.150768230107329	2	2	0	-6.89413992228447
"chr1"	33010120	33010752	0.37652354718857	15	0.0716140449113959	0.953961279601542	27	0.12981835874716	8	5	3	-6.75165590770991
"chr1"	33014260	35170626	0.0783801812041846	1289	0.0496440434845039	0.655545652741365	45096	0.16203921651848	2	2	0	-6.74248604491145
"chr1"	35182891	35995521	0.070521279679027	283	0.0401705670929211	0.683655408364452	16828	0.154224544277422	2	2	0	-6.82848651414086
"chr1"	36005370	36540155	0.0770170805720789	424	0.036923479316803	0.670013025998764	11422	0.172583985955013	2	2	0	-6.75028514893072
"chr1"	36542908	36936939	0.0738822438784802	354	0.0370134337539844	0.662035094239871	8360	0.174515373830827	2	2	0	-6.75359273839401
"chr1"	36957296	36959948	0.360522453715844	10	0.0902487919278948	0.719592603683111	64	0.147508824056743	3	2	1	-6.74271575805042
"chr1"	36961662	37955785	0.079400388010138	680	0.0471124048018858	0.651791387571519	21009	0.16243477489773	2	2	0	-6.73444797694258
"chr1"	37956872	39968099	0.0765600875286859	1443	0.047188557708254	0.6760827288575	42481	0.170940150854994	2	2	0	-6.81595173263929
"chr1"	39970327	40591317	0.0928408923072678	269	0.0657563469118038	0.669492987840209	12939	0.15403230134619	2	2	0	-6.77436981589589
"chr1"	40596287	40724163	0.0719119687592942	116	0.0256939022278468	0.709989166213872	2744	0.192343293498922	2	2	0	-6.80992612614764
"chr1"	40724682	43110067	0.078174221721764	1538	0.0485099262742248	0.670383930991951	46558	0.170743465352739	2	2	0	-6.79603749792832
"chr1"	43110532	43493352	0.0781203815722641	262	0.0335894131617733	0.663205080978911	8089	0.160500645383669	2	2	0	-6.7404862688873
"chr1"	43494271	43882184	0.0720091429309465	415	0.0279274582682436	0.698611976289992	8343	0.190877558045712	2	2	0	-6.81946779030091
"chr1"	43883709	44596500	0.0877901632798222	354	0.0665596738109049	0.674753637615797	14897	0.153627334242431	2	2	0	-6.7734199927348
"chr1"	44597934	45336998	0.0930799659144339	94	0.0721271635946448	0.676538070252801	15137	0.136741734310476	2	2	0	-6.80012364896162
"chr1"	45345866	45477484	0.0789209003459918	59	0.0246940483865233	0.695979950131358	2741	0.159718170214541	2	2	0	-6.75074490275998
"chr1"	45480226	46439529	0.0895741643217955	450	0.0458611107566283	0.676830939525826	20059	0.155543663144069	2	2	0	-6.80754298237841
"chr1"	46441121	46744340	0.0686360640296425	182	0.0262596747481744	0.685219066562256	6375	0.164742508569599	2	2	0	-6.86564338496986
"chr1"	46800209	47184585	0.222923123510974	27	0.152523904062745	0.666922821815226	7626	0.13139545446989	2	2	0	-7.23084175025991
"chr1"	47185943	47277818	0.0735528357641532	98	0.0294868965324516	0.629284166057226	2002	0.169332102201755	2	2	0	-6.76307782102506
"chr1"	47278153	50411854	0.079372009542131	1665	0.0480579695666761	0.640955583532302	65501	0.153399926894015	2	2	0	-6.73977845584753
"chr1"	50412430	52188743	0.0872338530119237	613	0.0435779733289659	0.66540251961886	36845	0.149808332380486	2	2	0	-6.78730881888659
"chr1"	52195856	52724687	0.0779797653252601	282	0.0332064516834685	0.684542036420997	11099	0.164399934269471	2	2	0	-6.77272353067504
"chr1"	52726410	52820341	0.0920186249307995	122	0.0469737111083776	0.640785986693058	2055	0.180519764078142	2	2	0	-6.7721708480457
"chr1"	52825878	53577437	0.0776085221440565	319	0.0439183191114308	0.673743011257097	15627	0.147365778126485	2	2	0	-6.76912444131059
"chr1"	53577713	56336014	0.0757322857242217	1901	0.0444974892614061	0.657512538203594	58148	0.165716071225945	2	2	0	-6.75468254919851
"chr1"	56337515	56717454	0.0789357884007027	140	0.031682581511345	0.63727490990992	7823	0.140445739313374	2	2	0	-6.73627235745229
"chr1"	56717475	56833209	0.0797087147001872	129	0.0295191621676077	0.619664725483663	2482	0.187251765700876	2	2	0	-6.73673389152714
"chr1"	56836012	56963596	0.0805115993776581	58	0.0616463603524701	0.64224387392079	2666	0.146677985841562	2	2	0	-6.73325036479334
"chr1"	56965132	57098878	0.0851765379402303	209	0.0365154593637167	0.594426701610441	2941	0.186140515445289	2	2	0	-6.76152549096711
"chr1"	57100669	57223406	0.0776686825973216	86	0.0332660399170792	0.64374910983513	2584	0.164297160724215	2	2	0	-6.73605084610045
"chr1"	57238324	57323181	0.105381150063939	62	0.0697453496816888	0.602536260662807	1798	0.141713200528488	2	2	0	-6.82415222593517
"chr1"	57323363	57566523	0.0736459009459983	286	0.0295654058888276	0.660727899740077	5242	0.19248291508775	2	2	0	-6.76244131089285
"chr1"	57567288	57726129	0.0834420524389398	187	0.0354435776527419	0.612226467057728	3446	0.176390898232043	2	2	0	-6.74791102950025
"chr1"	57727217	58079133	0.0717165415190431	259	0.0291234842833965	0.646914857662894	7419	0.162876459108185	2	2	0	-6.78124188900304
"chr1"	58079583	58629851	0.0769259660673519	328	0.0561104947759542	0.639662696503865	11449	0.152830079792805	2	2	0	-6.73659105777325
"chr1"	58630383	58631021	0.43494901124715	26	0.0433637388396555	0.768473996288514	43	0.10994327541748	7	4	3	-6.77928741052514
"chr1"	58631500	60513915	0.0781887829904223	1288	0.0402421423218601	0.642500051709048	39582	0.16221307306408	2	2	0	-6.73618835788995
"chr1"	60513969	62072580	0.0745251395538304	1006	0.0369700778492866	0.655689011090508	32762	0.160727676062785	2	2	0	-6.7528751345007
"chr1"	62074242	62112366	0.0736257581954012	56	0.0310678143889957	0.615448511015445	841	0.193170864228878	2	2	0	-6.75973924740642
"chr1"	62113791	62258240	0.076916845831102	202	0.0551511440249138	0.664827472902805	3214	0.192270389863546	2	2	0	-6.73667595375055
"chr1"	62258282	62351184	0.0738362000718149	149	0.0280895409521321	0.621409301030928	2061	0.190440006786415	2	2	0	-6.76430176676847
"chr1"	62352546	62766178	0.0711644837359968	54	0.0239013009537477	0.655521290201123	8486	0.141304848402494	2	2	0	-6.81623144583142
"chr1"	62784304	62887759	0.0832861965464957	129	0.0302193130273499	0.632087988135327	2245	0.182604253852436	2	2	0	-6.74108293808689
"chr1"	62889202	63629109	0.0780866925086511	602	0.0466136286598238	0.661185976533036	15651	0.174219616985131	2	2	0	-6.74108534314854
"chr1"	63630423	64147926	0.0743256068823208	307	0.030659188546474	0.635631568802535	10866	0.151789778287217	2	2	0	-6.75765891241636
"chr1"	64147962	64566766	0.0718996959291449	282	0.0354914591670918	0.650225924675979	8867	0.162819063534145	2	2	0	-6.76442284055828
"chr1"	64569567	65064431	0.0774879974381676	222	0.0317208782481154	0.652613979787302	10333	0.152051355675014	2	2	0	-6.73782356692057
"chr1"	65067135	65289709	0.0803525055952733	311	0.044784877359666	0.662002547652068	4885	0.199111734341626	2	2	0	-6.73487593832293
"chr1"	65289861	65425016	0.0821310974158924	208	0.0310153067393626	0.61460017503269	2986	0.18621279081276	2	2	0	-6.74195034734278
"chr1"	65426218	65684827	0.0907826111592239	127	0.073156335295214	0.646624831827419	5333	0.165836986362715	2	2	0	-6.74602368764183
"chr1"	65724265	65912258	0.0795889959405275	251	0.0324252643616718	0.612312897548613	4086	0.185567043446326	2	2	0	-6.7429639699203
"chr1"	65912329	68804789	0.0790959193437443	2437	0.0438514405442548	0.639990998740727	61422	0.171607574286059	2	2	0	-6.73993972034109
"chr1"	68805253	69161729	0.0715827677853596	299	0.0300906100977284	0.642553527381504	7569	0.172868990743119	2	2	0	-6.7799891863721
"chr1"	69167231	69312493	0.0732988933192584	51	0.0357497840388376	0.65651773551056	3008	0.208338399823296	2	2	0	-6.75451449699345
"chr1"	69313631	69494769	0.072687204255863	192	0.0312719015747001	0.63505709318098	3855	0.174526643645518	2	2	0	-6.7669132073077
"chr1"	69500032	69822964	0.0733383219116512	269	0.0394922793278005	0.620751854889602	6844	0.1750350819732	2	2	0	-6.76077255318658
"chr1"	69841738	70287635	0.0798789709210559	189	0.0524278364678471	0.644221438452653	9233	0.153093487027963	2	2	0	-6.73321968166328
"chr1"	70289419	70720826	0.0894153807369017	441	0.0512381365768513	0.608499790610619	9292	0.173778940824102	2	2	0	-6.78501490513753
"chr1"	70721031	73401329	0.0791436080474259	1798	0.035611657524078	0.616576147343559	53592	0.160305643663914	2	2	0	-6.87364965690204
"chr1"	73425319	77640722	0.0805492834009897	2511	0.0428232632165037	0.622523942143466	88370	0.155481800696829	2	2	0	-6.88281880987063
"chr1"	77644087	78873581	0.0798374545841119	688	0.0417642566226352	0.648149231418901	25738	0.157291226506866	2	2	0	-6.73316309775867
"chr1"	78874197	80348598	0.0801544220435676	1137	0.043472560950142	0.625761442737218	31139	0.164245104664401	2	2	0	-6.76878417388267
"chr1"	80351277	80948646	0.0760950425473188	457	0.0376230657520946	0.624112326168997	12544	0.167851955557197	2	2	0	-6.75572276767743
"chr1"	80948676	80950056	0.42463011129984	9	0.0709806311609019	0.728265338358665	35	0.165512836842536	7	4	3	-6.76491309663837
"chr1"	80956823	81386444	0.0821357325208103	352	0.038295065101616	0.608580774976296	9128	0.161818928084336	2	2	0	-6.7712404976173
"chr1"	81390163	81391466	0.449264714127026	33	0.0336614438643131	0.623032856214241	59	0.0936722122247266	2	1	1	-6.73343681196316
"chr1"	81391537	81650568	0.0813506113173394	227	0.0327547518248055	0.618283959805888	5518	0.170757194232961	2	2	0	-6.74488128467967
"chr1"	81651612	83004000	0.0802314080098909	1178	0.0401423203111147	0.618009747910772	28785	0.163373230882597	2	2	0	-6.79555295185422
"chr1"	83006272	83584620	0.117101113327677	463	0.0799083085450848	0.631073205744423	12231	0.170277783054705	2	2	0	-6.86689640360874
"chr1"	83586637	84271619	0.0750268187430654	529	0.04339378692656	0.663484528551095	14378	0.169814452305544	2	2	0	-6.75011322343084
"chr1"	84273406	84764109	0.0818300336956658	371	0.0483761808120929	0.650782670919041	10391	0.162554833273639	2	2	0	-6.73429661719731
"chr1"	84764966	86805906	0.074765808083198	1601	0.0383530528106963	0.662123837376114	43003	0.173383596610369	2	2	0	-6.76636909347211
"chr1"	86806789	90183868	0.0794359026654529	1739	0.0455647888726791	0.652070677232144	70478	0.155883217249397	2	2	0	-6.73854719854589
"chr1"	90183899	90667647	0.0792041726045425	349	0.043087366410071	0.654749133620949	10197	0.162962473061883	2	2	0	-6.73485489341769
"chr1"	90668277	90912316	0.0809949985500154	262	0.0375367660232777	0.623517367327974	5225	0.169708507193295	2	2	0	-6.74028936812752
"chr1"	90914490	93569241	0.0775449039371342	1645	0.047649942425376	0.657373345920525	55875	0.16348447970981	2	2	0	-6.75016716926656
"chr1"	93572549	94111412	0.0842720845275569	349	0.0507602452039588	0.64926040138973	11236	0.162110994256054	2	2	0	-6.73743898250375
"chr1"	94111854	98885577	0.0780738280038495	3165	0.0426236468122308	0.643262150693565	100294	0.164214884331839	2	2	0	-6.73751030119396
"chr1"	98889256	99032284	0.0790884103832744	199	0.0305313900500269	0.667843153360517	3115	0.184973706308137	2	2	0	-6.73613313645206
"chr1"	99034035	99177863	0.0771966480434594	203	0.0323003406038001	0.614036216642903	3132	0.183999192968406	2	2	0	-6.74445564134163
"chr1"	99178667	100575618	0.0910193441424439	321	0.0661953664402728	0.64984634193555	28784	0.140135863628268	2	2	0	-6.75051786025874
"chr1"	100576527	100703772	0.0797351230267522	95	0.0339077101962117	0.617300396243903	2702	0.157268407101273	2	2	0	-6.73980048833624
"chr1"	100704869	101192291	0.0768925119767292	329	0.0349699274022989	0.652432187098473	10267	0.168124333536995	2	2	0	-6.73854936938249
"chr1"	101193874	101229947	0.0755454992744633	56	0.0272869313660702	0.609490737127993	796	0.190531705129585	2	2	0	-6.75112243873888
"chr1"	101231322	101585293	0.0819438564475275	414	0.0528067129172707	0.637608897438708	7627	0.180933769244842	2	2	0	-6.73517551135135
"chr1"	101585368	102129838	0.0862048545015915	474	0.0398864611933898	0.611779462470093	11532	0.16367354091684	2	2	0	-6.7851034742946
"chr1"	102130704	102369547	0.0841729777819307	352	0.0379237227354462	0.62782886008166	5221	0.187751738067833	2	2	0	-6.74387915286252
"chr1"	102369917	104201806	0.086647290852794	1014	0.0575876468588799	0.606338673126957	32616	0.155676078505689	2	2	0	-6.92478730713038
"chr1"	104206009	104306515	0.0887639889393001	164	0.0391826926800104	0.582561577935344	2233	0.180601567619863	2	2	0	-6.78304074305427
"chr1"	104306942	104457389	0.0754931433406819	159	0.0397475474271158	0.612945140647948	3243	0.174971535835459	2	2	0	-6.74927703630144
"chr1"	104463804	104659290	0.0905973782039446	284	0.0419288999162384	0.577643912856026	4286	0.175726364267151	2	2	0	-6.8192972583048
"chr1"	104659762	104924456	0.0826858440428213	414	0.0515392693826582	0.624372389834926	5696	0.198982766489852	2	2	0	-6.73965683161055
"chr1"	104925617	104958690	0.0952400842524289	165	0.0444833667644344	0.534412917433461	849	0.252206545719756	2	2	0	-6.81394244117626
"chr1"	104958894	105120343	0.0761536919615361	243	0.0375363348101067	0.63451573537569	3545	0.200962153161441	2	2	0	-6.74022671859433
"chr1"	105121353	105264519	0.0927706254953694	286	0.0468341406635092	0.561176570549729	3226	0.187287444278605	2	2	0	-6.8262875497125
"chr1"	105264854	106100317	0.0863577546511643	1059	0.0456544976993975	0.609117793816756	17921	0.185399086981757	2	2	0	-6.79679508543105
"chr1"	106101602	106330724	0.0895022467753613	320	0.0346142598181533	0.58020292594504	4990	0.176272850586891	2	2	0	-6.82969058049454
"chr1"	106332102	109734781	0.0800019940177024	1731	0.0445205996139323	0.647752126595671	61417	0.16738597670835	2	2	0	-6.73317743557527
"chr1"	109736350	110630273	0.081130217246136	939	0.035384954649762	0.638723447431786	19249	0.17198403500955	2	2	0	-6.73651927036171
"chr1"	110654293	110911611	0.0730866126270167	304	0.0309840286481	0.675663088648468	5556	0.19266628549217	2	2	0	-6.77069915512086
"chr1"	110912603	111731540	0.076452706180381	268	0.0349145693594816	0.658790682100311	16952	0.145730428240844	2	2	0	-6.74699192333464
"chr1"	111735071	112146591	0.0765327421583342	316	0.0319810162886223	0.655819955720144	8676	0.16389478417631	2	2	0	-6.74184616895382
"chr1"	112149526	112188701	0.0884386971929757	136	0.0477394474988405	0.570455930652121	941	0.223979744978179	2	2	0	-6.75908331306831
"chr1"	112188730	112282282	0.0687340974437974	195	0.0304071299219857	0.685976251039307	2107	0.229264734496833	2	2	0	-6.81804345988684
"chr1"	112290888	112294320	0.377551241102645	9	0.0921228045117554	0.71495097245491	49	0.243307624911625	8	5	3	-6.77986672277486
"chr1"	112294435	112615667	0.071704982628466	184	0.0298084558896954	0.674707386919893	6714	0.163546516815552	2	2	0	-6.79199769596677
"chr1"	112617108	112769011	0.0896718914124683	87	0.0382115343571243	0.652453908652893	3195	0.159806461425572	2	2	0	-6.77145103547224
"chr1"	112770147	113574223	0.0768087031935434	337	0.0494871831390742	0.67131193277549	14168	0.163381360052933	2	2	0	-6.7603722539997
"chr1"	113575952	113875583	0.0839140644908918	259	0.0437607403321859	0.651902880357273	6412	0.173193583563395	2	2	0	-6.7381784067386
"chr1"	113876746	114808187	0.0755554994125675	515	0.0361728687113847	0.655269253387656	19512	0.157683063232109	2	2	0	-6.74586983492013
"chr1"	114814966	115039301	0.0750014577973536	239	0.0292679557607822	0.672905770072551	4814	0.185744962943081	2	2	0	-6.75660417545051
"chr1"	115040002	118318585	0.0830002519718077	1411	0.0469461666137477	0.639647581604651	68158	0.147265763567597	2	2	0	-6.74676034709237
"chr1"	118318822	118318929	0.397242225540094	11	0.0681473003533856	0.623123588273193	14	0.129982606613262	5	3	2	-6.74488638420693
"chr1"	118319239	118615586	0.0793254780632047	171	0.0390990838216595	0.641415285393819	6183	0.153984626652615	2	2	0	-6.73374112167665
"chr1"	118618785	118686578	0.0823904612862469	105	0.0329831319970829	0.618671396521661	1491	0.191763535757616	2	2	0	-6.73835616015332
"chr1"	118686634	119572761	0.0760220742894383	795	0.0342568186368316	0.656689548921804	18844	0.176226458012364	2	2	0	-6.74504598536021
"chr1"	119573031	119999873	0.0781477906118603	308	0.0387273026173906	0.645955877464462	8925	0.160515994185735	2	2	0	-6.73442801099344
"chr1"	119999980	121390861	0.204914987912398	747	0.121470009904949	0.62367988341954	17336	0.231575712862511	2	2	0	-7.32917637716598
"chr1"	121391731	123397895	0.33784588941484	734	0.114008217239397	0.738714967537119	8023	0.297195747415177	3	2	1	-7.32785991509503
"chr1"	123416304	125164025	0.347957108541717	1474	0.0946530106407996	1.09760166789372	8671	0.303401377668053	3	2	1	-7.07546237893358
"chr1"	125164026	145510177	0.340560496629841	1309	0.0958565363735775	1.04096909520082	25273	0.320156302332136	3	2	1	-8.19248256669444
"chr1"	145512624	160687347	0.452071227266735	10748	0.0501582510603127	1.23693615482647	297136	0.22326325242178	4	2	2	-6.99382703991157
"chr1"	160692991	160697617	0.266162773174117	54	0.123408153405859	1.30473478253524	152	0.373713205189965	4	3	1	-6.73442304546255
"chr1"	160699178	224011869	0.459038284757968	50384	0.0380316155470276	1.19611334686213	1323191	0.217486249254569	4	2	2	-6.78664270349574
"chr1"	224012177	224015184	0.280736762328254	63	0.108115595909439	0.831602941944058	153	0.310021094358704	4	3	1	-6.73959263119417
"chr1"	224015211	234763511	0.459319098004524	8427	0.036478229928187	1.22204774107426	220465	0.21350474751819	4	2	2	-6.8692390247218
"chr1"	234776645	234838104	0.323847845216277	55	0.124296005445457	1.06071052557011	1302	0.307559365240053	3	2	1	-6.77174115358872
