Hugo_Symbol	Chromosome
ACOT4	14q24.3
ACOT6	14q24.3
ACOT7	1p36.31
ACOT8	20q13.12
ACOT9	Xp22.11
ACOT11	1p32.3
ACOT12	5q14.1
ACOT13	6p22.3
ACOX1	17q25.1
ACOX2	3p14.3
ACOX3	4p16.1
ACOXL	2q13
ACOXL-AS1	2q13
ACP1	2p25.3
ACP2	11p11.2
ACP3	3q22.1
ACP4	19q13.33
ACP5	19p13.2
ACP6	1q21.2
ACP7	19q13.2
ACR	22q13.33
ACRBP	12p13.31
ACRP1	2q14.1
ACRV1	11q24.2
ACS3	
ACSBG1	15q25.1
ACSBG2	19p13.3
ACSF2	17q21.33
ACSF3	16q24.3
ACSL1	4q35.1
ACSL3	2q36.1
ACSL3-AS1	2q36.1
ACSL4	Xq23
ACSL5	10q25.2
ACSL6	5q31.1
ACSL6-AS1	5q31.1
ACSM1	16p12.3
ACSM2A	16p12.3
ACSM2B	16p12.3
ACSM3	16p12.3
ACSM4	12p13.31
ACSM5	16p12.3
ACSM5P1	16p12.3
ACSM6	10q23.33
ACSS1	20p11.21
ACSS2	20q11.22
ACSS3	12q21.31
ACTA1	1q42.13
ACTA2	10q23.31
ACTA2-AS1	10q23.31
ACTA3	
ACTB	7p22.1
ACTBL2	5q11.2
ACTBP1	Xp11.3
ACTBP2	5q14.1
ACTBP3	18q21.33
ACTBP4	5q31.1
ACTBP5	7q36.1
ACTBP6	8q21.2
ACTBP7	15q15.3
ACTBP8	6q15
ACTBP9	18q21.33
ACTBP10	14q11.2
ACTBP11	1q41
ACTBP12	1p22.1
ACTBP13	3p21.31
ACTBP14	10q22.1
ACTBP15	22q13.2
ACTC1	15q14
ACTE1P	11q13.4
ACTG1	17q25.3
ACTG1P1	3q23
ACTG1P2	Yq11.222
ACTG1P3	20p13
ACTG1P4	1p21.1
ACTG1P6	1p21
ACTG1P7	1p21
ACTG1P8	1p21
ACTG1P9	6p12.3
ACTG1P10	Xp11.22
ACTG1P11	Yq11.222
ACTG1P12	3p25.2
ACTG1P13	3q12.1
ACTG1P14	9p24.1
ACTG1P15	15q14
ACTG1P16	16q12.1
ACTG1P17	15q25.2
ACTG1P18	6q16.3
ACTG1P19	9q31.1
ACTG1P20	1p36.11
ACTG1P21	1p31.1
ACTG1P22	2p16.1
ACTG1P23	3q26.31
ACTG1P24	17p11.2
ACTG1P25	1q32.1
ACTG2	2p13.1
ACTL2	
ACTL3	
ACTL4	3pter-q21
ACTL5	21q22.3
ACTL6A	3q26.33
ACTL6B	7q22.1
ACTL7A	9q31.3
ACTL7B	9q31.3
ACTL8	1p36.13
ACTL9	19p13.2
ACTL10	20q11.22
ACTN1	14q24.1
ACTN1-AS1	14q24.1
ACTN2	1q43
ACTN3	11q13.2
ACTN4	19q13.2
ACTN4P1	4q26
ACTN4P2	1p34.3
ACTP1	2q12.3
ACTR1A	10q24.32
ACTR1AP1	2q13
ACTR1B	2q11.2
ACTR2	2p14
ACTR3	2q14.1
ACTR3-AS1	2q14.1
ACTR3B	7q36.1-q36.2
ACTR3BP1	Yq11.21
ACTR3BP2	2p11.1
ACTR3BP3	16p11.2
ACTR3BP4	4q24
ACTR3BP5	10p11.1
ACTR3BP6	22q11.1
ACTR3BP7	22p11.2
ACTR3C	7q36.1
ACTR3P1	14q11.2
ACTR3P2	Xq13.1
ACTR3P3	3q12.2
ACTR5	20q11.23
ACTR6	12q23.1
ACTR6P1	4q25
ACTR8	3p21.1
ACTR10	14q23.1
ACTRT1	Xq25
ACTRT1P1	Xq25
ACTRT2	1p36.32
ACTRT3	3q26.2
ACVR1	2q24.1
ACVR1B	12q13.13
ACVR1C	2q24.1
ACVR2A	2q22.3-q23.1
ACVR2B	3p22.2
ACVR2B-AS1	3p22.2
ACVRL1	12q13.13
ACVRLK2	
ACY1	3p21.2
ACY1L	18q22.1
ACY3	11q13.2
ACYP1	14q24.3
ACYP2	2p16.2
AD1	
AD2	19
AD3	
AD4	
AD5	12p11.23-q13.12
ADA	20q13.12
ADA2	22q11.1
ADAD1	4q27
ADAD1P1	3p22.2
ADAD1P2	18q21.1
ADAD2	16q24.1
ADAL	15q15.3
ADAM1A	12q24.12-q24.13
ADAM1B	12q24.13
ADAM2	8p11.22
ADAM3A	8p11.22
ADAM3B	16q12.1
ADAM5	8p11.22
ADAM6	14q32.33
ADAM7	8p21.2
ADAM8	10q26.3
ADAM9	8p11.22
ADAM10	15q21.3
ADAM11	17q21.31
ADAM12	10q26.2
ADAM12-OT1	10q26.2
ADAM15	1q21.3
ADAM17	2p25.1
ADAM18	8p11.22
ADAM19	5q33.3
ADAM20	14q24.2
ADAM20P1	14q24.2
ADAM20P2	4q34.2
ADAM20P3	4q35.2
ADAM21	14q24.2
ADAM21P1	14q24.2
ADAM22	7q21.12
ADAM23	2q33.3
ADAM24P	8p22
ADAM28	8p21.2
ADAM29	4q34.1
ADAM30	1p12
ADAM32	8p11.22
ADAM33	20p13
ADAMDEC1	8p21.2
ADAMTS1	21q21.3
ADAMTS2	5q35.3
ADAMTS3	4q13.3
ADAMTS4	1q23.3
ADAMTS5	21q21.3
ADAMTS6	5q12.3
ADAMTS7	15q25.1
ADAMTS7P1	15q25.2
ADAMTS7P2	15q25.2
ADAMTS7P3	15q24.3
ADAMTS7P4	15q25.3
ADAMTS8	11q24.3
ADAMTS9	3p14.1
ADAMTS9-AS1	3p14.1
ADAMTS9-AS2	3p14.1
ADAMTS10	19p13.2
ADAMTS12	5p13.3-p13.2
ADAMTS13	9q34.2
ADAMTS14	10q22.1
ADAMTS15	11q24.3
ADAMTS16	5p15.32
ADAMTS17	15q26.3
ADAMTS18	16q23.1
ADAMTS19	5q23.3
ADAMTS19-AS1	5q23.3
ADAMTS20	12q12
ADAMTS21	reserved
ADAMTSL1	9p22.2-p22.1
ADAMTSL2	9q34.2
ADAMTSL3	15q25.2
ADAMTSL4	1q21.2
ADAMTSL4-AS1	1q21.2
ADAMTSL4-AS2	1q21.2
ADAMTSL5	19p13.3
ADAP1	7p22.3
ADAP2	17q11.2
ADAR	1q21.3
ADARB1	21q22.3
ADARB2	10p15.3
ADARB2-AS1	10p15.3
ADAT1	16q23.1
ADAT2	6q24.2
ADAT3	19p13.3
ADCK1	14q24.3
ADCK2	7q34
ADCK5	8q24.3
ADCP1	6
ADCP2	
ADCR	
ADCY1	7p12.3
ADCY2	5p15.31
ADCY3	2p23.3
ADCY4	14q12
ADCY5	3q21.1
ADCY6	12q13.12
ADCY6-DT	12q13.12
ADCY7	16q12.1
ADCY8	8q24.22
ADCY9	16p13.3
ADCY10	1q24.2
ADCY10P1	6p21.1
ADCYAP1	18p11.32
ADCYAP1R1	7p14.3
ADD1	4p16.3
ADD2	2p13.3
ADD3	10q25.1-q25.2
ADD3-AS1	10q25.1
ADDL	
ADFN	Xq26.3-q27.1
ADGB	6q24.3
ADGRA1	10q26.3
ADGRA1-AS1	10q26.3
ADGRA2	8p11.23
ADGRA3	4p15.2
ADGRB1	8q24.3
ADGRB2	1p35.2
ADGRB3	6q12-q13
ADGRD1	12q24.33
ADGRD1-AS1	12q24.33
ADGRD2	9q33.3
ADGRE1	19p13.3-p13.2
ADGRE2	19p13.12
ADGRE3	19p13.12
ADGRE4P	19p13.2
ADGRE5	19p13.12
ADGRF1	6p12.3
ADGRF2	6p12.3
ADGRF3	2p23.3
ADGRF4	6p12.3
ADGRF5	6p12.3
ADGRF5-AS1	6p12.3
ADGRF5P1	9q13
ADGRF5P2	9p11.1
ADGRG1	16q21
ADGRG2	Xp22.13
ADGRG3	16q21
ADGRG4	Xq26.3
ADGRG5	16q21
ADGRG6	6q24.2
ADGRG7	3q12.2
ADGRL1	19p13.12
ADGRL2	1p31.1
ADGRL3	4q13.1
ADGRL3-AS1	4q13.1
ADGRL4	1p31.1
ADGRV1	5q14.3
ADH1A	4q23
ADH1B	4q23
ADH1C	4q23
ADH4	4q23
ADH5	4q23
ADH5P1	4q21-q23
ADH5P2	1p31.1
ADH5P3	1q43
ADH5P4	6q12
ADH5P5	5p14.2
ADH6	4q23
ADH7	4q23
ADHFE1	8q13.1
ADI1	2p25.3
ADI1P1	20q12
ADI1P2	8q22.3
ADI1P3	12q13.11
ADIG	20q11.23
ADIPOQ	3q27.3
ADIPOQ-AS1	3q27.3
ADIPOR1	1q32.1
ADIPOR1P1	10p12.31
ADIPOR1P2	14q32.13
ADIPOR2	12p13.33
ADIR	1q25-q31
ADIRF	10q23.2
ADIRF-AS1	10q23.2
ADK	10q22.2
ADL	
ADM	11p15.4
ADM2	22q13.33
ADM5	19q13.33
ADMLX	
ADMLY	
ADNP	20q13.13
ADNP-AS1	20q13.13
ADNP2	18q23
ADO	10q21.3
ADORA1	1q32.1
ADORA2A	22q11.23
ADORA2A-AS1	22q11.23
ADORA2B	17p12
ADORA2BP1	1q32.2
ADORA2L1	
ADORA2L2	
ADORA3	1p13.2
ADPGK	15q24.1
ADPGK-AS1	15q24.1
ADPRH	3q13.33
ADPRHL1	13q34
ADPRM	17p13.1
ADPRS	1p34.3
ADRA1A	8p21.2
ADRA1B	5q33.3
ADRA1C	
ADRA1D	20p13
ADRA2A	10q25.2
ADRA2B	2q11.2
ADRA2C	4p16.3
ADRA2L1	
ADRB1	10q25.3
ADRB2	5q32
ADRB2RL1	
ADRB3	8p11.23
ADRM1	20q13.33
ADSL	22q13.1
ADSS1	14q32.33
ADSS2	1q44
ADT	
ADTAA	
ADTAB	
ADTB1	
ADTB2	
ADTG	
ADTRP	6p24.1
AE1	
AE2	
AEBP1	7p13
AEBP2	12p12.3
AEMK	
AEN	15q26.1
AEPLC	reserved
AEZ	reserved
AF8T	3
AFA	reserved
AFAP1	4p16.1
AFAP1-AS1	4p16.1
AFAP1L1	5q32
AFAP1L2	10q25.3
AFCP	
AFD1	9q32
AFDN	6q27
AFDN-DT	6q27
AFF1	4q21.3-q22.1
AFF1-AS1	4q21.3
AFF2	Xq28
AFF2-IT1	Xq28
AFF3	2q11.2
AFF4	5q31.1
AFG1L	6q21
AFG3	
AFG3L1P	16q24.3
AFG3L2	18p11.21
AFG3L2P1	8p11.1
AFM	4q13.3
AFMID	17q25.3
AFP	4q13.3
AFTPH	2p14
AGA	4q34.3
AGAP1	2q37.2
AGAP1-IT1	2q37.2
AGAP2	12q14.1
AGAP2-AS1	12q14.1
AGAP3	7q36.1
AGAP4	10q11.22
AGAP5	10q22.2
AGAP6	10q11.23
AGAP7P	10q11.22
AGAP8	10q11.23
AGAP9	10q11.22
AGAP10	10q11.22
AGAP10P	10q11.22
AGAP11	10q23.2
AGAP12P	10q11.22
AGAP13P	10q11.22
AGAP14P	10q11.22
AGBL1	15q25.3
AGBL1-AS1	15q25.3
AGBL2	11p11.2
AGBL3	7q33
AGBL4	1p33
AGBL4-AS1	1p33
AGBL4-IT1	1p33
AGBL5	2p23.3
AGBL5-AS1	2p23.3
AGBL5-IT1	2p23.3
AGER	6p21.32
AGFG1	2q36.3
AGFG2	7q22.1
AGGF1	5q13.3
AGGF1P1	4q35.2
AGGF1P2	10q26.3
AGGF1P3	3p12.3
AGGF1P4	16p11.1
AGGF1P5	16p11.1
AGGF1P6	16p11.1
AGGF1P7	16p11.1
AGGF1P8	16p11.2
AGGF1P9	16p11.1
AGGF1P10	20q11.1
AGK	7q34
AGKP1	Yq11.221
AGKP2	
AGL	1p21.2
AGMAT	1p36.21
AGMO	7p21.2
AGMX1	
AGMX2	Xp22
AGO1	1p34.3
AGO2	8q24.3
AGO3	1p34.3
AGO4	1p34.3
AGPAT1	6p21.32
AGPAT2	9q34.3
AGPAT3	21q22.3
AGPAT4	6q26
AGPAT4-IT1	6q26
AGPAT5	8p23.1
AGPAT5P1	Yp11.2
AGPS	2q31.2
AGR2	7p21.1
AGR3	7p21.1
AGRN	1p36.33
AGRP	16q22.1
AGS	
AGS1	3p21
AGS2	13q14-q21
AGT	1q42.2
AGTBP	reserved
AGTIL	
AGTPBP1	9q21.33
AGTR1	3q24
AGTR1B	reserved
AGTR2	Xq23
AGTRAP	1p36.22
AGTRL2	
AGXT	2q37.3
AGXT2	5p13.2
AHC	
AHCTF1	1q44
AHCTF1P1	2q24.2
AHCY	20q11.22
AHCYL1	1p13.3
AHCYL2	7q32.1
AHCYP1	10q11.22
AHCYP2	9q33.2
AHCYP3	2q12.1
AHCYP4	2q22.1
AHCYP5	2q32.3
AHCYP6	11q14.1
AHCYP7	15q21.2
AHCYP8	1q44
AHDC1	1p36.11-p35.3
AHDS	Xq21
AHI1	6q23.3
AHNAK	11q12.3
AHNAK2	14q32.33
AHR	7p21.1
AHRR	5p15.33
AHSA1	14q24.3
AHSA2P	2p15
AHSG	3q27.3
AHSP	16p11.2
AIC	Xp22
AICDA	12p13.31
AIDA	1q41
AIDAP1	2p25.1
AIDAP2	4q32.1
AIDAP3	18p11.32
AIED	Xp21-q21
AIF1	6p21.33
AIF1L	9q34.12-q34.13
AIFM1	Xq26.1
AIFM1P1	10p12.31
AIFM2	10q22.1
AIFM3	22q11.21
AIG1	6q24.2
AIG1P1	5p13.1
AIH1	
AIH2	4q13.3-q21.2
AIH3	Xq22-q28
AIM2	1q23.1-q23.2
AIMP1	4q24
AIMP1P1	20p12.1
AIMP1P2	1q24.3
AIMP2	7p22.1
AIP	11q13.2
AIPL1	17p13.2
AIRE	21q22.3
AIRN	6q25.3
AIS1	1p33-p31
AIS2	7q11.22
AIS3	8
AJAP1	1p36.32
AJM1	9q34.3
AJUBA	14q11.2
AK1	9q34.11
AK2	1p35.1
AK2P1	1p32.1
AK2P2	2p22.3
AK3	9p24.1
AK3P2	8q24.3
AK3P3	7p15.3
AK3P4	5q22.3
AK3P5	10p11.22
AK3P6	12q24.33
AK4	1p31.3
AK4P1	17q11.2
AK4P2	5q11.2
AK4P3	12p11.21
AK4P4	9p24.1
AK4P5	6q14.1
AK4P6	4q31.3
AK5	1p31.1
AK6	5q13.2
AK6	reserved
AK6P1	12p11.1
AK6P2	12q12
AK7	14q32.2
AK8	9q34.13
AK9	6q21
AKAIN1	18p11.31
AKAP1	17q22
AKAP2	9q31.3
AKAP3	12p13.32
AKAP4	Xp11.22
AKAP5	14q23.3
AKAP6	14q12
AKAP7	6q23.2
AKAP8	19p13.12
AKAP8L	19p13.12
AKAP8P1	9p23
AKAP9	7q21.2
AKAP10	17p11.2
AKAP11	13q14.11
AKAP11-IT1	13q14.11
AKAP12	6q25.1
AKAP13	15q25.3
AKAP14	Xq24
AKAP17A	Xp22.33 and Yp11.32
AKAP17BP	Xq24
AKD2	6q21
AKIP1	11p15.4
AKIRIN1	1p34.3
AKIRIN1P1	12q21.31
AKIRIN1P2	Xq12
AKIRIN2	6q15
AKIRIN2-AS1	6q15
AKIRIN2P1	4q31.23
AKNA	9q32
AKNAD1	1p13.3
AKR1A1	1p34.1
AKR1B1	7q33
AKR1B1P1	1q42.12
AKR1B1P2	3p12.3
AKR1B1P3	11p15.2
AKR1B1P4	13q14.13
AKR1B1P5	14q23.1
AKR1B1P6	18p11.22
AKR1B1P7	19q13.11
AKR1B1P8	Xq23
AKR1B10	7q33
AKR1B10P1	10q21.3
AKR1B10P2	18q22.1
AKR1B11	reserved
AKR1B15	7q33
AKR1C1	10p15.1
AKR1C2	10p15.1
AKR1C3	10p15.1
AKR1C4	10p15.1
AKR1C5P	10p15.1
AKR1C6P	10p15.1
AKR1C7P	10p15.1
AKR1C8P	10p15.1
AKR1D1	7q33
AKR1D1P1	1q24.2
AKR1E2	10p15.1
AKR7A2	1p36.13
AKR7A2P1	1p13.2
AKR7A2P2	Xq24
AKR7A3	1p36.13
AKR7L	1p36.13
AKT1	14q32.33
AKT1S1	19q13.33
AKT2	19q13.2
AKT3	1q43-q44
AKT3-IT1	1q44
AKTIP	16q12.2
AKU	
ALAD	9q32
ALAS1	3p21.2
ALAS2	Xp11.21
ALAS3	
ALB	4q13.3
ALCAM	3q13.11
ALD	
ALDH1A1	9q21.13
ALDH1A2	15q21.3
ALDH1A3	15q26.3
ALDH1B1	9p13.1
ALDH1L1	3q21.3
ALDH1L1-AS1	3q21.3
ALDH1L1-AS2	3q21.3
ALDH1L2	12q23.3
ALDH2	12q24.12
ALDH3A1	17p11.2
ALDH3A2	17p11.2
ALDH3B1	11q13.2
ALDH3B2	11q13.2
ALDH4A1	1p36.13
ALDH5A1	6p22.3
ALDH6A1	14q24.3
ALDH7A1	5q23.2
ALDH7A1P1	5q13.3
ALDH7A1P2	2q31.1
ALDH7A1P3	7q36.1
ALDH7A1P4	10q21.2
ALDH8A1	6q23.3
ALDH9A1	1q24.1
ALDH16A1	19q13.33
ALDH18A1	10q24.1
ALDL1	
ALDOA	16p11.2
ALDOAP1	3p21.2
ALDOAP2	10q26.13
ALDOB	9q31.1
ALDOC	17q11.2
ALDR1	
ALDRL2	9q22
ALDRL5	
ALFN1	12q24
ALG1	16p13.3
ALG1L	3q21.2
ALG1L2	3q22.1
ALG1L3P	4p16.1
ALG1L5P	7p22.1
ALG1L6P	3p12.3
ALG1L7P	4p16.3
ALG1L8P	11q13.2
ALG1L9P	11q13.4
ALG1L10P	12p13.31
ALG1L11P	8p23.1
ALG1L12P	8p23.1
ALG1L13P	8p23.1
ALG1L14P	4p16.1
ALG1L15P	3q25.31
ALG2	9q22.33
ALG3	3q27.1
ALG3P1	5p15.32
ALG5	13q13.3
ALG6	1p31.3
ALG8	11q14.1
ALG9	11q23.1
ALG9-IT1	11q23.1
ALG10	12p11.1
ALG10B	12q12
ALG11	13q14.3
ALG12	22q13.33
ALG13	Xq23
ALG13-AS1	Xq23
ALG14	1p21.3
ALG14-AS1	1p21.3
ALK	2p23.2-p23.1
ALKAL1	8q11.23
ALKAL2	2p25.3
ALKBH1	14q24.3
ALKBH2	12q24.11
ALKBH3	11p11.2
ALKBH3-AS1	11p11.2
ALKBH4	7q22.1
ALKBH5	17p11.2
ALKBH6	19q13.12
ALKBH7	19p13.3
ALKBH8	11q22.3
ALLC	2p25.3
ALMS1	2p13.1
ALMS1-IT1	2p13.1
ALMS1P1	2p13.1
ALOX5	10q11.21
ALOX5AP	13q12.3
ALOX12	17p13.1
ALOX12-AS1	17p13.1
ALOX12B	17p13.1
ALOX12P1	17q11.2
ALOX12P2	17p13.1
ALOX15	17p13.2
ALOX15B	17p13.1
ALOX15P1	17p13.1
ALOX15P2	9q22.31
ALOXE3	17p13.1
ALOXE3P1	17p13.1
ALPG	2q37.1
ALPI	2q37.1
ALPK1	4q25
ALPK2	18q21.31-q21.32
ALPK3	15q25.3
ALPL	1p36.12
ALPP	2q37.1
ALPPL1	
ALPPP	2q37.1
ALS1	
ALS2	2q33.1
ALS2CL	3p21.31
ALS2CR1	2q33-q34
ALS2CR6	2q33
ALS2CR14	2q33
ALS2CR16	2q33.2
ALS2CR17	2q33.2
ALS2CR18	2q33
ALS3	18q21
ALS5	15q15.1-q21.1
ALS6	16q12
ALS7	20p13
ALUNC	
ALX1	12q21.31
ALX3	1p13.3
ALX4	11p11.2
ALYREF	17q25.3
AMACR	5p13.2
AMBN	4q13.3
AMBP	9q32
AMBRA1	11p11.2
AMCD1	9
AMCD2B	11pter-p15.5
AMCN	5q35
AMD1	6q21
AMD1P1	10p12.31
AMD1P2	Xq28 and Yq12
AMD1P3	5p12
AMD1P4	6p24.1
AMD2	
AMDHD1	12q23.1
AMDHD2	16p13.3
AMDM	9p13-q12
AMELX	Xp22.2
AMELY	Yp11.2
AMER1	Xq11.2
AMER2	13q12.13
AMER3	2q21.1
AMFR	16q13
AMH	19p13.3
AMHR2	12q13.13
AMIGO1	1p13.3
AMIGO2	12q13.11
AMIGO3	3p21.31
AMLCR2	16q22
AMMECR1	Xq23
AMMECR1-IT1	Xq23
AMMECR1L	2q14.3
AMMECR1LP1	13q32.1
AMN	14q32.32
AMN1	12p11.21
AMOT	Xq23
AMOTL1	11q21
AMOTL2	3q22.2
AMPD1	1p13.2
AMPD2	1p13.3
AMPD3	11p15.4
AMPH	7p14.1
AMPHL	
AMT	3p21.31
AMTN	4q13.3
AMY1A	1p21.1
AMY1B	1p21.1
AMY1C	1p21.1
AMY2A	1p21.1
AMY2B	1p21.1
AMYP1	1p21.1
AMZ1	7p22.3
AMZ2	17q24.2
AMZ2P1	17q24.1
AMZ2P2	6q25.3
AMZ2P3	Xp21.3
AN1	
AN2	
ANAPC1	2q13
ANAPC1P1	2p11.2
ANAPC1P2	2p11.2
ANAPC1P3	2p11.2
ANAPC1P4	2p11.2
ANAPC1P5	2p11.2
ANAPC1P6	2q12.2
ANAPC2	9q34.3
ANAPC4	4p15.2
ANAPC5	12q24.31
ANAPC7	12q24.11
ANAPC10	4q31.21
ANAPC10P1	1p32.3
ANAPC11	17q25.3
ANAPC13	3q22.2
ANAPC15	11q13.4
ANAPC15P1	Xp22.31
ANAPC15P2	3q26.31
ANAPC16	10q22.1
ANCR	15q11-q12
ANE1	2q12.1-q13
ANG	14q11.2
ANGEL1	14q24.3
ANGEL2	1q32.3
ANGPT1	8q23.1
ANGPT2	8p23.1
ANGPT3	reserved
ANGPT4	20p13
ANGPT5	
ANGPTL1	1q25.2
ANGPTL2	9q33.3
ANGPTL3	1p31.3
ANGPTL4	19p13.2
ANGPTL5	11q22.1
ANGPTL6	19p13.2
ANGPTL7	1p36.22
ANGPTL8	19p13.2
ANHX	12q24.33
ANIB1	7q11.2
ANIB2	19q13
ANIB3	1p36.13-p34.3
ANIB4	5p15.2-p14.3
ANK1	8p11.21
ANK2	4q25-q26
ANK2-AS1	4q25
ANK3	10q21.2
ANK3-DT	10q21.2
ANKAR	2q32.2
ANKDD1A	15q22.31
ANKDD1B	5q13.3
ANKEF1	20p12.2
ANKFN1	17q22
ANKFY1	17p13.2
ANKH	5p15.2
ANKHD1	5q31.3
ANKHD1-EIF4EBP3	5q31.3
ANKIB1	7q21.2
ANKK1	11q23.2
ANKL1	7q31.2
ANKLE1	19p13.11
ANKLE2	12q24.33
ANKMY1	2q37.3
ANKMY2	7p21.1
ANKRA2	5q13.2
