Hugo_Symbol	100-PM-064_LCM3
AL357552.3	-0.5468
RPL23AP19	-0.5468
ENO1	-0.5468
MIR6728	-0.5468
ENO1-AS1	-0.5468
RNU6-304P	-0.5468
HMGN2P17	-0.5468
AL139415.1	-0.5468
AL139415.2	-0.5468
CA6	-0.5468
RN7SL451P	-0.5468
SLC2A7	-0.5468
SLC2A5	-0.5468
AL158048.1	-0.5468
GPR157	-0.5468
MIR34AHG	-0.5468
MIR34A	-0.5468
LNCTAM34A	-0.5468
H6PD	-0.5468
SPSB1	-0.5468
BX323043.1	-0.5468
LINC02606	-0.5468
RNA5SP40	-0.5468
AL928921.1	-0.5468
SLC25A33	-0.5468
AL954705.1	-0.5468
TMEM201	-0.5468
PIK3CD	-0.5468
PIK3CD-AS1	-0.5468
AL691449.1	-0.5468
PIK3CD-AS2	-0.5468
CLSTN1	-0.5468
MZT1P1	-0.5468
AL357140.3	-0.5468
CTNNBIP1	0
AL357140.1	0
AL357140.4	0
LZIC	-0.4835
AL357140.2	-0.4835
NMNAT1	-0.5803
RN7SKP269	-0.4835
TMEM274P	-0.4835
MIR5697	-0.4835
AL603962.1	-0.5803
RBP7	-0.5803
UBE4B	-0.5803
AL590639.1	-0.5803
PGAM1P11	-0.5803
RNU6-828P	-0.5803
KIF1B	-0.5803
AL358013.1	-0.5803
RNU6-37P	-0.5803
RN7SL731P	-0.5803
AL139424.3	-0.5803
AL139424.2	-0.5803
PGD	-0.5803
AL139424.1	-0.5803
CENPS-CORT	-0.5803
CENPS	-0.5803
CORT	-0.5803
DFFA	-0.5803
AL354956.1	-0.5803
PEX14	-0.5694
AL139423.2	-0.5694
RN7SL614P	-0.5694
CASZ1	-0.5694
AL139423.1	-0.5694
HSPE1P24	-0.5203
C1orf127	-0.5203
CFL1P6	-0.5203
TARDBP	-0.5203
AL109811.3	-0.5203
MASP2	-0.5762
AL109811.2	-0.5203
SRM	-0.5762
EXOSC10	-0.5762
AL109811.1	-0.5762
EXOSC10-AS1	-0.5762
MTOR	-0.5762
MTOR-AS1	-0.5762
RNU6-537P	-0.5762
ANGPTL7	-0.5762
RNU6-291P	-0.5762
RPL39P6	-0.5762
UBIAD1	-0.5549
UBE2V2P3	-0.5549
AL031291.1	-0.5549
MTCYBP45	-0.5549
DISP3	-0.6101
AL590989.1	-0.5549
LINC01647	-0.6101
AL031731.1	-0.6101
FBXO2	-0.6101
FBXO44	-0.6101
FBXO6	-0.6101
MAD2L2	-0.6101
DRAXIN	-0.6101
AGTRAP	-0.6101
C1orf167	-0.6101
C1orf167-AS1	-0.6101
MTHFR	-0.6101
CLCN6	-0.6101
AL021155.3	-0.6101
AL021155.4	-0.6101
NPPA	-0.6101
AL021155.2	-0.6101
NPPB	-0.6101
AL021155.1	-0.6101
AL021155.5	-0.6101
RNU5E-1	-0.6101
RNU5E-4P	-0.6101
KIAA2013	-0.6101
PLOD1	-0.6101
AL096840.3	-0.6101
MFN2	-0.6101
AL096840.2	-0.6101
MIIP	-0.6101
AL096840.1	-0.6101
MIR6729	-0.6101
RN7SL649P	-0.6101
TNFRSF8	-0.6101
RNU6-777P	-0.6101
RPL23AP89	-0.6101
AL357835.1	-0.6101
MIR7846	-0.6101
TNFRSF1B	-0.6101
MIR4632	-0.6101
RPL10P17	-0.6101
AL031276.1	-0.6101
VPS13D	-0.6101
SNORA59A	-0.6101
LINC02766	-0.6101
DHRS3	-0.6101
RNU6ATAC18P	-0.6101
MIR6730	-0.6101
AC254633.1	-0.6101
AADACL4	-0.6101
AC244670.1	-0.6101
AADACL3	-0.6101
C1orf158	-0.6101
PRAMEF12	-0.6101
PRAMEF1	-0.6101
LINC01784	-0.6101
PRAMEF11	-0.6101
PRAMEF30P	-0.6101
HNRNPCL1	-0.6101
PRAMEF2	-0.6101
PRAMEF4	-0.6101
PRAMEF10	-0.6101
PRAMEF7	-0.6101
RNU6-1072P	-0.6101
PRAMEF29P	-0.6101
PRAMEF6	-0.6101
PRAMEF28P	-0.6101
PRAMEF27	-0.6101
HNRNPCL3	-0.6101
PRAMEF25	-0.6101
PRAMEF34P	-0.6101
PRAMEF35P	-0.6101
HNRNPCL2	-0.6101
PRAMEF36P	-0.6101
AC245056.1	-0.6101
PRAMEF26	-0.6101
HNRNPCL4	-0.6101
PRAMEF9	-0.6101
PRAMEF13	-0.6101
PRAMEF18	-0.6101
PRAMEF31P	-0.6101
PRAMEF5	-0.6101
PRAMEF32P	-0.6101
RNU6-771P	-0.6101
PRAMEF8	-0.6101
PRAMEF33	-0.6101
PRAMEF15	-0.6101
AC243961.1	-0.6101
PRAMEF14	-0.6101
PRAMEF19	-0.6101
PRAMEF17	-0.6101
PRAMEF20	-0.6101
LRRC38	-0.6101
AL354712.1	-0.6101
BRWD1P1	-0.6101
PDPN	-0.6101
RNA5SP41	-0.6101
AL359771.1	-0.6101
AL359771.2	-0.6101
PRDM2	-0.6101
KAZN	-0.6115
RNU6-1265P	-0.6115
AL357873.1	-0.6115
KAZN-AS1	-0.6115
TBCAP2	-0.6054
AL031293.1	-0.6054
TMEM51-AS1	-0.6054
TMEM51	-0.6054
C1orf195	-0.6054
AL035405.1	-0.6054
AL391094.1	-0.6054
FHAD1	-0.6054
FHAD1-AS1	-0.6054
AL031283.2	-0.6054
AL031283.1	-0.6054
EFHD2	-0.6054
CTRC	-0.6054
CELA2A	-0.6054
CELA2B	-0.6054
CASP9	-0.446
DNAJC16	-0.446
SCARNA21B	-0.446
AL121992.3	-0.446
AGMAT	-0.446
AL121992.1	-0.446
CHCHD2P6	-0.446
RNU7-179P	-0.446
CD24P1	-0.446
DDI2	-0.446
RSC1A1	-0.446
AL121992.2	-0.446
PLEKHM2	-0.446
AL450998.3	-0.446
SLC25A34	-0.446
SLC25A34-AS1	-0.446
TMEM82	-0.446
FBLIM1	-0.446
RPL12P14	-0.446
UQCRHL	-0.5591
AL450998.1	-0.5591
AL450998.2	-0.5591
SPEN	-0.5591
AL034555.1	-0.5591
ZBTB17	-0.5591
AL355994.4	-0.5591
AL355994.1	-0.5591
AL355994.5	-0.5591
TBC1D3P6	-0.5591
SRARP	-0.458
AL355994.3	-0.458
HSPB7	-0.458
CLCNKA	-0.458
AL355994.2	-0.458
CLCNKB	-0.458
FAM131C	-0.458
EPHA2	-0.5995
AL451042.2	-0.4894
AL451042.1	-0.4894
ARHGEF19-AS1	-0.5502
ARHGEF19	-0.5502
ANO7L1	-0.5502
AL109627.1	-0.5502
CPLANE2	-0.5502
MT1XP1	-0.5502
FBXO42	-0.5502
SZRD1	-0.5502
RPL22P3	-0.5502
SPATA21	-0.5502
NECAP2	-0.5502
LINC01772	-0.5502
CROCCP3	-0.5502
RNU1-1	-0.5762
AL137802.2	-0.5762
AL137802.3	-0.5762
AL137802.1	-0.5762
LINC01783	-0.5762
RNU1-6P	-0.5762
AL355149.1	-0.5762
NBPF1	-0.5762
AL137798.1	-0.5762
CROCCP2	-0.5762
AL137798.3	-0.5762
MST1P2	-0.5762
AL137798.2	-0.5762
RNU1-3	-0.5762
AL021920.2	-0.5762
EIF1AXP1	-0.5762
ESPNP	-0.5762
AL021920.1	-0.5762
AL021920.3	-0.5762
CROCC	-0.6091
CROCCP4	-0.5762
RNU1-4	-0.5762
MST1L	-0.5762
BX284668.1	-0.5762
BX284668.3	-0.5762
MIR3675	-0.5762
BX284668.2	-0.5762
RNU1-5P	-0.5762
BX284668.5	-0.5762
BX284668.4	-0.5762
RNU1-2	-0.5762
BX284668.6	-0.5762
MFAP2	-0.6091
AL049569.2	-0.6091
AL049569.1	-0.6091
ATP13A2	-0.6091
SDHB	-0.6091
PADI2	-0.6091
LINC02783	-0.6091
AL590644.1	-0.6091
PADI1	-0.6091
PADI3	-0.6091
MIR3972	-0.6091
PADI4	-0.6091
PADI6	-0.6091
RCC2-AS1	-0.6091
RCC2	-0.6091
ARHGEF10L	-0.6091
LINC02810	-0.6091
ACTL8	-0.6091
AL357509.1	-0.6091
LINC01654	-0.6091
IGSF21	-0.6091
AL365209.1	-0.6091
IGSF21-AS1	-0.6091
AL591896.1	-0.6091
KLHDC7A	-0.6091
DYNLL1P3	-0.6091
AL031737.1	-0.6091
PAX7	-0.6091
TAS1R2	-0.6091
ALDH4A1	-0.6091
MIR4695	-0.6091
MIR1290	-0.6091
IFFO2	-0.6091
AL137127.1	-0.5693
UBR4	-0.5693
EMC1-AS1	-0.5693
EMC1	-0.5693
MRTO4	-0.5693
AL035413.2	-0.5693
AKR7L	-0.5693
AKR7A3	-0.5693
AL035413.1	-0.5693
AKR7A2	-0.5693
RNU6-1099P	-0.5693
SLC66A1	-0.5693
CAPZB	-0.5693
RN7SL277P	-0.5693
MICOS10	-0.5693
RNU4-28P	-0.5693
AL031727.2	-0.5693
NBL1	-0.5693
MICOS10-NBL1	-0.5693
AL031727.1	-0.5693
HTR6	-0.5693
TMCO4	-0.5693
RNF186	-0.5693
AL391883.1	-0.5693
OTUD3	-0.5693
PLA2G2E	-0.5693
RN7SL304P	-0.5693
PLA2G2A	-0.5693
PLA2G5	-0.5693
PLA2G2D	-0.5693
PLA2G2F	-0.5693
Z98257.1	-0.5693
PLA2G2C	-0.5693
UBXN10-AS1	-0.5693
UBXN10	-0.5693
LINC01757	-0.5693
Z98257.2	-0.5693
VWA5B1	-0.5693
AL020998.1	-0.5693
LINC01141	-0.5693
AL139254.1	-0.5693
AL139254.2	-0.5693
AL139254.3	-0.5693
CAMK2N1	-0.5693
MUL1	-0.5693
RPS4XP4	-0.5693
FAM43B	-0.5693
CDA	-0.5693
PINK1	-0.5693
MIR6084	-0.5693
PINK1-AS	-0.5693
DDOST	-0.5693
KIF17	-0.5693
AL663074.2	-0.5693
SH2D5	-0.5693
AL663074.1	-0.5693
HP1BP3	-0.5693
EIF4G3	-0.5693
RNU7-200P	-0.5693
MIR1256	-0.5693
RPS15AP6	-0.5693
AL627311.1	-0.5693
HSPE1P27	-0.5693
AL031005.2	-0.5693
ECE1	-0.5693
AL031005.1	-0.5693
ECE1-AS1	-0.5693
PPP1R11P1	0
AL592309.1	-0.6364
AL592309.2	-0.6364
NBPF2P	-0.5555
HS6ST1P1	-0.5555
CROCCP5	-0.5555
NBPF3	-0.5555
PFN1P10	-0.5555
ALPL	-0.5555
LINC02596	-0.5555
RAP1GAP	-0.5555
USP48	-0.5555
AL590103.1	-0.5555
LDLRAD2	-0.5555
HSPG2	-0.5555
AL590556.1	-0.5555
AL590556.2	-0.5555
CELA3B	-0.5555
AL590556.3	-0.5555
RN7SL386P	-0.5555
RNU6-1022P	-0.5555
CELA3A	0.2673
RN7SL186P	0
RNU6-776P	0
LINC01635	-0.5504
LINC00339	-0.5504
CDC42	-0.5504
CDC42-AS1	-0.5504
AL031281.2	-0.5504
CDC42-IT1	-0.5504
AL031281.1	-0.5504
WNT4	-0.5504
AL445253.1	-0.5504
MIR4418	-0.5504
PPIAP34	-0.5504
AL591122.1	-0.5504
ZBTB40	-0.5504
ZBTB40-IT1	-0.5504
EPHA8	-0.5504
MIR6127	-0.5504
C1QA	-0.5504
C1QC	-0.5504
C1QB	-0.5504
EPHB2	-0.5504
MIR4684	-0.5504
AL512444.1	-0.5504
MIR4253	-0.5504
LACTBL1	-0.5504
TEX46	-0.5504
KDM1A	-0.5504
AL031428.1	-0.5504
MIR3115	-0.5504
AL031428.2	-0.5504
LUZP1	-0.5504
AL161672.1	-0.5504
RNU6-514P	-0.5504
RNU6-135P	-0.5504
HTR1D	-0.5504
AL109936.2	-0.5504
LINC01355	-0.5504
AL109936.8	-0.5504
HNRNPR	-0.5504
ZNF436	-0.5504
ZNF436-AS1	-0.5504
AL109936.1	-0.5504
AL109936.3	-0.5504
TCEA3	-0.5504
AL357134.1	-0.5504
ASAP3	-0.5504
E2F2	-0.5504
AL021154.1	-0.5504
ID3	-0.5504
AL450043.1	-0.5504
MDS2	-0.5504
AL451000.1	-0.5504
RPL11	-0.5504
ELOA-AS1	-0.5504
ELOA	-0.5504
PITHD1	-0.5504
LYPLA2	-0.5504
GALE	-0.5504
HMGCL	-0.5504
FUCA1	-0.5504
CNR2	-0.5504
BTBD6P1	-0.5504
AL590609.2	-0.5504
MIR378F	-0.5504
H3P1	-0.5504
PNRC2	-0.5504
SRSF10	-0.5504
AL590609.1	-0.5504
AL591178.1	-0.5504
MYOM3	-0.5504
MYOM3-AS1	-0.5504
IL22RA1	-0.5504
IFNLR1	-0.5504
LINC02800	-0.5504
GRHL3-AS1	-0.5504
GRHL3	-0.5504
STPG1	-0.5504
NIPAL3	-0.5504
RCAN3AS	-0.5504
RCAN3	-0.5504
NCMAP-DT	-0.5504
NCMAP	-0.5504
AL445686.1	-0.5504
AL445686.2	-0.5504
SRRM1	-0.5504
AL445648.1	-0.5504
CLIC4	-0.5504
RNU6-1208P	-0.5504
RUNX3	-0.5504
MIR6731	-0.5504
AL445471.1	-0.5504
AL445471.2	-0.5504
MIR4425	-0.5504
LINC02793	-0.5504
AL050344.1	-0.5504
AL121994.1	-0.5504
AL031432.1	-0.5504
SYF2	-0.5504
AL031432.4	-0.5504
AL031432.5	-0.5504
RSRP1	-0.5504
AL031432.3	-0.5504
AL031432.2	-0.5504
RHD	-0.5504
SDHDP6	-0.5504
AL928711.1	-0.5504
TMEM50A	-0.5504
RHCE	-0.5504
AL031284.1	-0.5504
MACO1	-0.5504
LDLRAP1	-0.5504
AL606491.1	-0.5504
MAN1C1	-0.5504
AL031280.1	-0.5504
SELENON	-0.5504
AL020996.2	-0.5504
AL020996.1	-0.5504
MTFR1L	-0.5504
AL020996.3	-0.5504
AUNIP	-0.5504
AL033528.3	-0.5504
PAQR7	-0.5504
AL033528.1	-0.5504
STMN1	-0.5504
SNRPFP2	-0.5504
AL033528.2	-0.5504
MIR3917	-0.5504
PAFAH2	-0.5504
RNU6-110P	-0.5504
AL592064.1	-0.5504
AL592064.2	-0.5504
EXTL1	-0.5504
SLC30A2	-0.5504
AL391650.2	-0.5504
TRIM63	-0.5504
PDIK1L	-0.5504
FAM110D	-0.5504
C1orf232	-0.5504
AL391650.1	-0.5504
ZNF593	-0.5504
CNKSR1	-0.5504
CATSPER4	-0.5504
ZPLD2P	-0.5504
AL355877.2	-0.5504
CEP85	-0.5504
AL355877.1	-0.5504
SH3BGRL3	-0.5504
UBXN11	-0.5504
CD52	-0.5504
CRYBG2	-0.5504
AL451139.1	-0.5504
ZNF683	-0.5504
LIN28A	-0.5282
DHDDS	-0.5282
AL513365.1	-0.5282
DHDDS-AS1	-0.5282
HMGN2	-0.5282
DPPA2P2	-0.5282
RPS6KA1	-0.5282
MIR1976	-0.5282
RN7SL679P	-0.5282
AL627313.2	-0.5282
RNU7-29P	-0.5282
AL627313.1	-0.5282
AL627082.2	-0.5282
AL627082.1	-0.5282
AL512408.1	-0.5282
ARID1A	-0.5282
PIGV	-0.5282
RN7SL165P	-0.5282
AL034380.2	-0.5282
ZDHHC18	-0.5282
SFN	-0.5282
GPN2	-0.5282
AL034380.1	-0.5282
GPATCH3	-0.5282
NUDC	-0.5282
NR0B2	-0.5282
KDF1	-0.5282
RPL12P13	-0.5282
AL356390.1	-0.5282
OSTCP2	-0.5282
TRNP1	-0.5282
TENT5B	-0.5282
SLC9A1	-0.4967
AL590640.2	-0.4967
CHCHD3P3	-0.4967
NPM1P39	-0.4967
SNRPEP7	-0.4967
AL590640.1	-0.4967
WDTC1	-0.4967
AL590640.3	-0.4967
FO393419.3	-0.4967
TMEM222	-0.4967
RNU6-48P	-0.4967
ACTG1P20	-0.4967
SYTL1	-0.4967
MAP3K6	-0.4967
FCN3	-0.4967
CD164L2	0
FO393419.1	0
GPR3	-0.5235
WASF2	-0.5235
FO393419.2	-0.5235
BX293535.1	-0.5235
AHDC1	-0.5235
FGR	-0.5235
AL031729.1	-0.5235
LINC02574	-0.5235
IFI6	-0.5235
AL445490.1	-0.5235
RNU6-949P	-0.5235
CHMP1AP1	-0.5235
RNU6-424P	-0.5235
AL020997.5	-0.5235
FAM76A	-0.5235
AL020997.1	-0.5235
RPEP3	-0.5235
STX12	-0.5235
AL020997.2	-0.5235
AL020997.3	-0.5235
RNU6-1245P	-0.5235
AL020997.4	-0.5235
PPP1R8	-0.5235
SCARNA1	-0.5235
THEMIS2	-0.5235
RPA2	-0.5235
SMPDL3B	-0.5235
AL512288.1	-0.5235
XKR8	-0.5235
EYA3	-0.5235
AL512288.2	-0.5235
RN7SL559P	-0.5235
SPCS2P4	-0.5235
AL137792.2	-0.5235
AL137792.1	-0.5235
RNU6-176P	-0.5235
PTAFR	-0.5235
DNAJC8	-0.5235
ATP5IF1	-0.5235
AL353622.1	-0.5235
AL353622.2	-0.5235
SESN2	-0.5235
MED18	-0.5235
PHACTR4	-0.5235
CR589951.1	-0.5235
CR391992.1	-0.5235
RNU6ATAC27P	-0.5235
RCC1	-0.5235
SNHG3	-0.5235
SNORA73A	-0.5235
SNORA73B	-0.5235
PRDX3P2	-0.5235
AL513497.1	-0.5235
TRNAU1AP	-0.5235
SNHG12	-0.5235
SNORD99	-0.5235
SNORA61	-0.5235
SNORA44	-0.5235
SNORA16A	-0.5235
TAF12	-0.5235
RAB42	-0.5235
LINC01715	-0.5235
AL360012.1	-0.5235
RNU11	-0.5235
GMEB1	-0.5235
AL645729.1	-0.5235
YTHDF2	-0.5235
OPRD1	-0.5235
AL009181.2	-0.5235
AL009181.1	-0.5235
EPB41	-0.5974
AL138785.2	-0.5235
AL138785.1	-0.5235
AL138785.3	-0.5235
TMEM200B	-0.5974
AL357500.1	-0.5974
SRSF4	-0.5974
AL357500.2	-0.5974
MECR	-0.5974
AL590729.1	-0.5974
PTPRU	-0.5974
LINC01756	-0.5974
AL671862.1	-0.6659
AC092265.1	-0.6659
AL645944.2	-0.9057
AL645944.1	-0.6417
LINC01648	-0.6417
AL137076.1	-0.6417
AL021921.1	-0.6417
AL161638.2	-0.6417
AL161638.1	-0.6417
MATN1	-0.5042
MATN1-AS1	-0.5042
AL137857.1	-0.5042
LAPTM5	-0.5042
MIR4420	-0.5042
AL137027.1	-0.5042
LINC01778	-0.5042
RN7SKP91	-0.5042
AL445235.1	-0.5042
SDC3	-0.5042
RN7SL371P	-0.5042
PUM1	-0.5042
AL356320.2	-0.5042
AL356320.1	-0.5042
SELENOWP1	-0.5042
AC114495.1	-0.5042
NKAIN1	-0.5941
SNRNP40	-0.5941
AC114495.2	-0.5941
ZCCHC17	-0.5941
AL451070.1	-0.5941
FABP3	-0.5941
SERINC2	-0.6404
AC209007.1	-0.6404
RNU6-40P	-0.6404
LDC1P	-0.6404
AC209007.2	-0.6404
LINC01226	-0.6404
AC114488.1	-0.534
TINAGL1	-0.534
HCRTR1	-0.534
PEF1	-0.534
PEF1-AS1	-0.534
AC114488.2	-0.534
COL16A1	-0.534
ADGRB2	-0.534
MIR4254	-0.534
AL354919.2	-0.534
SPOCD1	-0.534
AL354919.1	-0.534
AL136115.2	-0.534
PTP4A2	-0.534
AL136115.1	-0.534
AL136115.3	-0.534
KHDRBS1	-0.534
AL445248.1	-0.534
TMEM39B	-0.534
MIR5585	-0.534
AL445248.2	-0.534
KPNA6	-0.534
AL049795.2	-0.534
TXLNA	-0.534
CCDC28B	-0.534
AL049795.1	-0.534
IQCC	-0.534
DCDC2B	-0.534
TMEM234	-0.534
EIF3I	-0.534
MTMR9LP	-0.534
FAM167B	-0.534
LCK	-0.534
AL121991.1	-0.534
AL109945.2	-0.534
HDAC1	-0.534
MARCKSL1	-0.534
AL109945.1	-0.534
TSSK3	-0.534
FAM229A	-0.534
BSDC1	-0.534
GAPDHP20	-0.534
AL356986.1	-0.534
LRRC37A12P	-0.534
RN7SL122P	-0.534
AL033529.1	-0.534
ZBTB8B	-0.534
ZBTB8A	-0.534
ZBTB8OS	-0.534
AC114489.1	-0.534
RBBP4	-0.534
SYNC	-0.534
AC114489.2	-0.534
KIAA1522	-0.534
YARS1	-0.534
S100PBP	-0.534
FNDC5	-0.534
HPCA	-0.534
TMEM54	-0.534
AL031602.2	-0.534
RNF19B	-0.534
AL031602.1	-0.534
AL355864.1	-0.534
AL355864.2	-0.534
AL020995.1	-0.6092
AK2	-0.6092
AL020995.2	-0.6092
AZIN2	-0.6092
AL662907.1	-0.6092
TRIM62	-0.6092
